Ticker,Company
III,3i Group Plc
ADM,Admiral Group
AAF,Airtel Africa plc
ALW,Alliance Witan plc
AAL,Anglo American
ANTO,Antofagasta plc
AHT,Ashtead Group plc
ABF,Associated British Foods plc
AZN,AstraZeneca plc
AUTO,Auto Trader Group plc
AV.,Aviva Plc
BA.,BAE Systems plc
BARC,Barclays plc
BTRW,Barratt Redrow Plc
BEZ,Beazley plc
BKG,Berkeley Group Holdings plc
BP.,BP Plc
BATS,British American Tobacco plc
BLND,British Land Co plc
BT.A,BT Group plc
BNZL,Bunzl plc
CNA,Centrica plc
CCH,Coca-Cola HBC AG
CPG,Compass Group plc
CTEC,ConvaTec Group Plc
CRDA,Croda International plc
DCC,DCC plc
DGE,Diageo plc
DPLM,Diploma plc
EZJ,easyJet plc
EDV,Endeavour Mining plc
ENT,Entain plc
EXPN,Experian Plc
FCIT,F&C Investment Trust plc
FRES,Fresnillo
GAW,Games Workshop Group
GLEN,Glencore plc
GSK,GSK plc
HLN,Haleon plc
HLMA,Halma plc
HL.,Hargreaves Lansdown plc
HIK,Hikma Pharmaceuticals
HSX,Hiscox Ltd
HWDN,Howden Joinery Group Plc
HSBA,HSBC Holdings plc
IMI,IMI plc
IMB,Imperial Brands Group
INF,Informa plc
IHG,InterContinental Hotels Group plc
ICG,Intermediate Capital Group plc
IAG,International Consolidated Airlines Group SA
ITRK,Intertek Group plc
JD.,JD Sports Fashion plc
KGF,Kingfisher
LAND,Land Securities Group plc
LGEN,Legal & General Group plc
LLOY,Lloyds Banking Group plc
LSEG,London Stock Exchange Group plc
LMP,LondonMetric Property plc
MNG,M&G plc
MKS,Marks & Spencer Group plc
MRO,Melrose Industries plc
MNDI,Mondi plc
NG.,National Grid
NWG,NatWest Group plc
NXT,Next plc
PSON,Pearson plc
PSH,Pershing Square Holdings Ltd
PSN,Persimmon plc
PHNX,Phoenix Group Holdings Plc
PCT,Polar Capital Technology Trust plc
PRU,Prudential plc
RKT,Reckitt Benckiser Group Plc
REL,RELX plc
RTO,Rentokil Initial Plc
RMV,Rightmove plc
RIO,Rio Tinto plc
RR.,Rolls Royce Holdings Plc
SGE,Sage Group plc
SBRY,Sainsbury (J) plc
SDR,Schroders plc
SMT,Scottish Mortgage Investment Trust plc
SGRO,Segro Plc
SVT,Severn Trent Plc
SHEL,Shell plc
SN.,Smith & Nephew plc
SMIN,Smiths Group Plc
SPX,Spirax Group plc
SSE,SSE plc
STJ,St James's Place Plc
STAN,Standard Chartered plc
TW.,Taylor Wimpey plc
TSCO,Tesco plc
ULVR,Unilever plc
UTG,Unite Group
UU.,United Utilities Group Plc
VOD,Vodafone Group plc
WEIR,Weir Group plc
WTB,Whitbread plc
WPP,WPP plc
